"slot_id","slot_doc_id","slot_date","slot_from","slot_to","slot_status"
148,"101","2023-09-06","09:00:00","09:30:00","Available"
149,"101","2023-09-06","09:30:00","10:00:00","Available"
150,"101","2023-09-06","10:00:00","10:30:00","Available"
151,"101","2023-09-06","10:30:00","11:00:00","Available"
152,"101","2023-09-06","11:00:00","11:30:00","Available"
153,"101","2023-09-06","11:30:00","12:00:00","Available"
154,"101","2023-09-06","12:00:00","12:30:00","Available"
155,"101","2023-09-07","09:00:00","09:30:00","Available"
156,"101","2023-09-07","09:30:00","10:00:00","Available"
157,"101","2023-09-07","10:00:00","10:30:00","Available"
158,"101","2023-09-07","10:30:00","11:00:00","Available"
159,"101","2023-09-07","11:00:00","11:30:00","Available"
160,"101","2023-09-07","11:30:00","12:00:00","Available"
161,"101","2023-09-07","12:00:00","12:30:00","Available"
162,"101","2023-09-09","09:00:00","09:30:00","Available"
163,"101","2023-09-09","09:30:00","10:00:00","Available"
164,"101","2023-09-09","10:00:00","10:30:00","Available"
165,"101","2023-09-09","10:30:00","11:00:00","Available"
166,"101","2023-09-09","11:00:00","11:30:00","Available"
167,"101","2023-09-09","11:30:00","12:00:00","Available"
168,"101","2023-09-09","12:00:00","12:30:00","Available"
169,"101","2023-09-11","09:00:00","09:30:00","Available"
170,"101","2023-09-11","09:30:00","10:00:00","Available"
171,"101","2023-09-11","10:00:00","10:30:00","Available"
172,"101","2023-09-11","10:30:00","11:00:00","Available"
173,"101","2023-09-11","11:00:00","11:30:00","Available"
174,"101","2023-09-11","11:30:00","12:00:00","Available"
175,"101","2023-09-11","12:00:00","12:30:00","Available"
176,"101","2023-09-13","09:00:00","09:30:00","Available"
177,"101","2023-09-13","09:30:00","10:00:00","Available"
178,"101","2023-09-13","10:00:00","10:30:00","Available"
179,"101","2023-09-13","10:30:00","11:00:00","Available"
180,"101","2023-09-13","11:00:00","11:30:00","Available"
181,"101","2023-09-13","11:30:00","12:00:00","Available"
182,"101","2023-09-13","12:00:00","12:30:00","Available"
183,"101","2023-09-14","09:00:00","09:30:00","Available"
184,"101","2023-09-14","09:30:00","10:00:00","Available"
185,"101","2023-09-14","10:00:00","10:30:00","Available"
186,"101","2023-09-14","10:30:00","11:00:00","Available"
187,"101","2023-09-14","11:00:00","11:30:00","Available"
188,"101","2023-09-14","11:30:00","12:00:00","Available"
189,"101","2023-09-14","12:00:00","12:30:00","Available"
190,"101","2023-09-16","09:00:00","09:30:00","Available"
191,"101","2023-09-16","09:30:00","10:00:00","Available"
192,"101","2023-09-16","10:00:00","10:30:00","Available"
193,"101","2023-09-16","10:30:00","11:00:00","Available"
194,"101","2023-09-16","11:00:00","11:30:00","Available"
195,"101","2023-09-16","11:30:00","12:00:00","Available"
196,"101","2023-09-16","12:00:00","12:30:00","Available"
197,"101","2023-09-18","09:00:00","09:30:00","Available"
198,"101","2023-09-18","09:30:00","10:00:00","Available"
199,"101","2023-09-18","10:00:00","10:30:00","Available"
200,"101","2023-09-18","10:30:00","11:00:00","Available"
201,"101","2023-09-18","11:00:00","11:30:00","Available"
202,"101","2023-09-18","11:30:00","12:00:00","Available"
203,"101","2023-09-18","12:00:00","12:30:00","Available"
204,"101","2023-09-20","09:00:00","09:30:00","Available"
205,"101","2023-09-20","09:30:00","10:00:00","Available"
206,"101","2023-09-20","10:00:00","10:30:00","Available"
207,"101","2023-09-20","10:30:00","11:00:00","Available"
208,"101","2023-09-20","11:00:00","11:30:00","Available"
209,"101","2023-09-20","11:30:00","12:00:00","Available"
210,"101","2023-09-20","12:00:00","12:30:00","Available"
211,"101","2023-09-06","14:00:00","14:30:00","Available"
212,"101","2023-09-06","14:30:00","15:00:00","Available"
213,"101","2023-09-06","15:00:00","15:30:00","Available"
214,"101","2023-09-06","15:30:00","16:00:00","Available"
215,"101","2023-09-06","16:00:00","16:30:00","Available"
216,"101","2023-09-06","16:30:00","17:00:00","Available"
217,"101","2023-09-06","17:00:00","17:30:00","Available"
218,"101","2023-09-07","14:00:00","14:30:00","Available"
219,"101","2023-09-07","14:30:00","15:00:00","Available"
220,"101","2023-09-07","15:00:00","15:30:00","Available"
221,"101","2023-09-07","15:30:00","16:00:00","Available"
222,"101","2023-09-07","16:00:00","16:30:00","Available"
223,"101","2023-09-07","16:30:00","17:00:00","Available"
224,"101","2023-09-07","17:00:00","17:30:00","Available"
225,"101","2023-09-09","14:00:00","14:30:00","Available"
226,"101","2023-09-09","14:30:00","15:00:00","Available"
227,"101","2023-09-09","15:00:00","15:30:00","Available"
228,"101","2023-09-09","15:30:00","16:00:00","Available"
229,"101","2023-09-09","16:00:00","16:30:00","Available"
230,"101","2023-09-09","16:30:00","17:00:00","Available"
231,"101","2023-09-09","17:00:00","17:30:00","Available"
232,"101","2023-09-11","14:00:00","14:30:00","Available"
233,"101","2023-09-11","14:30:00","15:00:00","Available"
234,"101","2023-09-11","15:00:00","15:30:00","Available"
235,"101","2023-09-11","15:30:00","16:00:00","Available"
236,"101","2023-09-11","16:00:00","16:30:00","Available"
237,"101","2023-09-11","16:30:00","17:00:00","Available"
238,"101","2023-09-11","17:00:00","17:30:00","Available"
239,"101","2023-09-13","14:00:00","14:30:00","Available"
240,"101","2023-09-13","14:30:00","15:00:00","Available"
241,"101","2023-09-13","15:00:00","15:30:00","Available"
242,"101","2023-09-13","15:30:00","16:00:00","Available"
243,"101","2023-09-13","16:00:00","16:30:00","Available"
244,"101","2023-09-13","16:30:00","17:00:00","Available"
