"slot_id","slot_doc_id","slot_date","slot_from","slot_to","slot_status"
505,"101","2023-09-04","09:00:00","09:30:00","Available"
506,"101","2023-09-04","09:30:00","10:00:00","Available"
507,"101","2023-09-04","10:00:00","10:30:00","Available"
508,"101","2023-09-04","10:30:00","11:00:00","Available"
509,"101","2023-09-04","11:00:00","11:30:00","Available"
510,"101","2023-09-04","11:30:00","12:00:00","Available"
511,"101","2023-09-04","12:00:00","12:30:00","Available"
512,"101","2023-09-05","09:00:00","09:30:00","Available"
513,"101","2023-09-05","09:30:00","10:00:00","Available"
514,"101","2023-09-05","10:00:00","10:30:00","Available"
515,"101","2023-09-05","10:30:00","11:00:00","Available"
516,"101","2023-09-05","11:00:00","11:30:00","Available"
517,"101","2023-09-05","11:30:00","12:00:00","Available"
518,"101","2023-09-05","12:00:00","12:30:00","Available"
519,"101","2023-09-06","09:00:00","09:30:00","Available"
520,"101","2023-09-06","09:30:00","10:00:00","Available"
521,"101","2023-09-06","10:00:00","10:30:00","Available"
522,"101","2023-09-06","10:30:00","11:00:00","Available"
523,"101","2023-09-06","11:00:00","11:30:00","Available"
524,"101","2023-09-06","11:30:00","12:00:00","Available"
525,"101","2023-09-06","12:00:00","12:30:00","Available"
526,"101","2023-09-08","09:00:00","09:30:00","Available"
527,"101","2023-09-08","09:30:00","10:00:00","Available"
528,"101","2023-09-08","10:00:00","10:30:00","Available"
529,"101","2023-09-08","10:30:00","11:00:00","Available"
530,"101","2023-09-08","11:00:00","11:30:00","Available"
531,"101","2023-09-08","11:30:00","12:00:00","Available"
532,"101","2023-09-08","12:00:00","12:30:00","Available"
533,"101","2023-09-11","09:00:00","09:30:00","Available"
534,"101","2023-09-11","09:30:00","10:00:00","Available"
535,"101","2023-09-11","10:00:00","10:30:00","Available"
536,"101","2023-09-11","10:30:00","11:00:00","Available"
537,"101","2023-09-11","11:00:00","11:30:00","Available"
538,"101","2023-09-11","11:30:00","12:00:00","Available"
539,"101","2023-09-11","12:00:00","12:30:00","Available"
540,"101","2023-09-12","09:00:00","09:30:00","Available"
